Período;Mes;año;Zona;Provincia;Cantón;Oeps / Ueps;Sector Productivo;Tipo de Acompañamiento;Servicio DPC;Detalle del Servicio;No. Beneficiarios
1. Trimestre;Febrero;2021;1;IMBABURA;ANTONIO ANTE;OEPS  ;Textil;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;14
2. Trimestre;Mayo;2021;5;SANTA ELENA;SALINAS;UEP;Otros;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;1
1. Trimestre;Marzo;2021;DMQ;PICHINCHA;QUITO;OEPS  ;Servicio Limpieza;Certificaciones de Calidad;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;44
2. Trimestre;Junio;2021;7;EL ORO;HUAQUILLAS;OEPS  ;Servicio Catering;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;29
1. Trimestre;Febrero;2021;3;COTOPAXI;LATACUNGA;OEPS  ;Servicio Limpieza;Elaboración Reglamento Interno;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;26
3. Trimestre;Septiembre;2021;2;ORELLANA;ORELLANA;OEPS;No priorizado en el cambio de la matriz productiva;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
2. Trimestre;Junio;2021;6;AZUAY;SEVILLA DE ORO;OEPS  ;Construcción;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;27
2. Trimestre;Junio;2021;6;AZUAY;PONCE ENRIQUEZ;OEPS  ;Servicio Catering;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;14
3. Trimestre;Agosto;2021;8;DM GUAYAQUIL;GUAYAQUIL;OEPS;Servicios;Capacitación Educación Financiera;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;10
2. Trimestre;Junio;2021;7;LOJA;LOJA;OEPS  ;Servicio Limpieza;Activos Fijos;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;33
1. Trimestre;Marzo;2021;8;GUAYAS;GUAYAQUIL;OEPS  ;Servicio Limpieza;Capacitación Asesoría Tributaria;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;15
1. Trimestre;Enero;2021;4;MANABI;JAMA;OEPS  ;Textil;Mejora Flujo Proceso Productivo;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;23
3. Trimestre;Septiembre;2021;7;EL ORO;MACHALA;OEPS;Servicios;Mejora Flujo Proceso Productivo;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;14
3. Trimestre;Septiembre;2021;4;MANABI;SAN VICENTE;OEPS;Agroalimentario;Mejora de procesos administrativos;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;13
2. Trimestre;Abril;2021;6;CAÑAR;CAÑAR;OEPS  ;Agroalimentario;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;84
2. Trimestre;Abril;2021;8;GUAYAS;GUAYAQUIL;UEP;Agroalimentario;Asesoría Planes de Negocios;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;1
1. Trimestre;Marzo;2021;DMQ;PICHINCHA;QUITO;OEPS  ;Servicio Limpieza;Certificaciones de Calidad;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;27
3. Trimestre;Septiembre;2021;5;LOS RIOS;BABAHOYO;OEPS;No priorizado en el cambio de la matriz productiva;Mejora de procesos administrativos;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;5
1. Trimestre;Marzo;2021;1;IMBABURA;IBARRA;OEPS  ;Servicio Limpieza;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;11
3. Trimestre;Septiembre;2021;7;ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;OEPS;Agroalimentario;Capacitación en mejoramiento del sistema de control y cumplimiento normativo;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;13
2. Trimestre;Junio;2021;5;SANTA ELENA;SALINAS;OEPS  ;Servicio Limpieza;Mejora de Infraestructura;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;5
3. Trimestre;Septiembre;2021;5;SANTA ELENA;LA LIBERTAD;OEPS;Servicios;Obtención Producto / Servicio;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;10
2. Trimestre;Abril;2021;3;COTOPAXI;PUJILI;OEPS  ;Servicio Alimentación;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
3. Trimestre;Septiembre;2021;7;ZAMORA CHINCHIPE;ZAMORA;OEPS;Servicios;Capacitación proceso de comercialización;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;24
1. Trimestre;Enero;2021;3;COTOPAXI;LATACUNGA;OEPS  ;Servicio Catering;Mejora Flujo Proceso Productivo;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;2
2. Trimestre;Mayo;2021;3;COTOPAXI;SIGCHOS;OEPS  ;Agroalimentario;Elaboración Reglamento Interno;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;1
1. Trimestre;Marzo;2021;5;SANTA ELENA;LA LIBERTAD;OEPS  ;Servicio Mantenimiento;Capacitación Educación Financiera;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;10
2. Trimestre;Junio;2021;5;SANTA ELENA;LA LIBERTAD;UEP;Otros;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;1
2. Trimestre;Junio;2021;2;ORELLANA;ORELLANA;OEPS  ;Otros;Evaluación Herramienta Ex-Post;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;150
2. Trimestre;Abril;2021;5;SANTA ELENA;SALINAS;OEPS  ;Servicio Limpieza;Mejora Flujo Proceso Productivo;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;5
1. Trimestre;Marzo;2021;8;GUAYAS;GUAYAQUIL;OEPS  ;Servicio Limpieza;Mejora Flujo Proceso Productivo;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;15
3. Trimestre;Septiembre;2021;DMQ;PICHINCHA;CAYAMBE;OEPS;Servicios;Capacitación manipulación alimentos;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;19
1. Trimestre;Enero;2021;2;ORELLANA;ORELLANA;OEPS  ;Textil;Obtención Producto / Servicio;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;27
2. Trimestre;Junio;2021;DMQ;PICHINCHA;CAYAMBE;OEPS  ;Otros;Evaluación Herramienta Ex-Post;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;0
2. Trimestre;Mayo;2021;DMQ;PICHINCHA;QUITO;OEPS  ;Otros;Capacitación Educación Financiera;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;10
3. Trimestre;Septiembre;2021;2;ORELLANA;ORELLANA;OEPS;No priorizado en el cambio de la matriz productiva;Asesoramiento Certificación INEN;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;1
2. Trimestre;Junio;2021;6;AZUAY;CUENCA;OEPS  ;Otros;Evaluación Herramienta Ex-Post;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;163
3. Trimestre;Agosto;2021;8;DM GUAYAQUIL;GUAYAQUIL;OEPS;Cadenas vinculadas a industrias básicas;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;14
2. Trimestre;Abril;2021;3;CHIMBORAZO;RIOBAMBA;ORGANISMO DE INTEGRACIÓN;Servicio Limpieza;FODA / Plan Estratégico;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;4
3. Trimestre;Septiembre;2021;1;CARCHI;MIRA;OEPS;Agroalimentario;Mejora de flujo de producto;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;2
1. Trimestre;Febrero;2021;5;SANTA ELENA;LA LIBERTAD;OEPS  ;Textil;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;12
1. Trimestre;Febrero;2021;8;GUAYAS;GUAYAQUIL;UEP;Agroalimentario;Activos Fijos;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;1
2. Trimestre;Abril;2021;6;CAÑAR;BIBLIAN;OEPS  ;Artesanal;Certificaciones INEN;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;22
2. Trimestre;Mayo;2021;1;CARCHI;MONTUFAR;OEPS  ;Textil;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;10
3. Trimestre;Septiembre;2021;DMQ;DM QUITO;QUITO;OEPS;Cadenas vinculadas a industrias básicas;Capacitación Imagen Corporativa;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;14
1. Trimestre;Febrero;2021;2;ORELLANA;ORELLANA;OEPS  ;Agropecuario;Evaluación Herramienta Ex-Post;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;80
1. Trimestre;Marzo;2021;8;GUAYAS;GUAYAQUIL;UEP;Textil;Asesoría Planes de Negocios;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;1
2. Trimestre;Mayo;2021;6;AZUAY;CUENCA;OEPS  ;Agropecuario;Mejora Flujo Proceso Productivo;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;237
1. Trimestre;Febrero;2021;1;IMBABURA;ANTONIO ANTE;OEPS  ;Textil;Evaluación Herramienta Ex-Post;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;13
2. Trimestre;Abril;2021;7;ZAMORA CHINCHIPE;YANTZAZA;OEPS  ;Servicio Limpieza;Mejora Flujo Proceso Productivo;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;25
3. Trimestre;Septiembre;2021;3;TUNGURAHUA;AMBATO;OEPS;No priorizado en el cambio de la matriz productiva;Elaboración Reglamento Interno;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;3
2. Trimestre;Mayo;2021;4;MANABI;PORTOVIEJO;OEPS  ;Servicio Limpieza;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;10
1. Trimestre;Marzo;2021;7;LOJA;SARAGURO;OEPS  ;Textil;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;34
2. Trimestre;Abril;2021;4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;UEP;Agroalimentario;Obtención Producto / Servicio;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
3. Trimestre;Septiembre;2021;4;MANABI;PORTOVIEJO;UEP;Agroalimentario;Obtención Producto / Servicio;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
1. Trimestre;Enero;2021;7;ZAMORA CHINCHIPE;EL PANGUI;OEPS  ;Servicio Limpieza;Obtención Producto / Servicio;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;15
1. Trimestre;Marzo;2021;3;COTOPAXI;LATACUNGA;OEPS  ;Servicio Catering;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;2
2. Trimestre;Abril;2021;2;ORELLANA;ORELLANA;OEPS  ;Servicio Catering;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;9
1. Trimestre;Enero;2021;4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;OEPS  ;Agroalimentario;Obtención Producto / Servicio;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;29
1. Trimestre;Marzo;2021;1;IMBABURA;IBARRA;OEPS  ;Servicio Mantenimiento;FODA / Plan Estratégico;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;22
2. Trimestre;Junio;2021;5;SANTA ELENA;SALINAS;OEPS  ;Servicio Limpieza;Mejora de Infraestructura;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;5
1. Trimestre;Marzo;2021;4;MANABI;SUCRE;OEPS  ;Agroalimentario;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;16
3. Trimestre;Septiembre;2021;6;AZUAY;SEVILLA DE ORO;OEPS;No priorizado en el cambio de la matriz productiva;Activos Fijos/capital de trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;13
3. Trimestre;Septiembre;2021;5;SANTA ELENA;SANTA ELENA;OEPS;Cadenas vinculadas a industrias básicas;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;10
2. Trimestre;Abril;2021;1;IMBABURA;IBARRA;OEPS  ;Agroalimentario;FODA / Plan Estratégico;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;100
1. Trimestre;Marzo;2021;1;IMBABURA;IBARRA;OEPS  ;Textil;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;15
3. Trimestre;Septiembre;2021;7;EL ORO;MACHALA;OEPS;Servicios;Mejora de flujo de producto;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;14
1. Trimestre;Marzo;2021;4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;OEPS  ;Textil;Asesoría Planes de Negocios;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;11
3. Trimestre;Septiembre;2021;1;SUCUMBIOS;SHUSHUFINDI;OEPS;No priorizado en el cambio de la matriz productiva;Mejora de flujo de producto;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
2. Trimestre;Junio;2021;6;AZUAY;SIGSI;OEPS  ;Agroalimentario;Obtención Producto / Servicio;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;31
3. Trimestre;Septiembre;2021;DMQ;DM QUITO;QUITO;OEPS;Agroalimentario;Certificaciones de Calidad;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;10
1. Trimestre;Enero;2021;7;ZAMORA CHINCHIPE;ZAMORA;OEPS  ;Textil;Obtención Producto / Servicio;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;10
1. Trimestre;Febrero;2021;1;IMBABURA;ANTONIO ANTE;OEPS  ;Textil;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;10
2. Trimestre;Junio;2021;4;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;OEPS  ;Textil;FODA / Plan Estratégico;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;12
3. Trimestre;Septiembre;2021;1;SUCUMBIOS;SHUSHUFINDI;OEPS;No priorizado en el cambio de la matriz productiva;Mejora de flujo de producto;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
3. Trimestre;Septiembre;2021;5;SANTA ELENA;LA LIBERTAD;OEPS;No priorizado en el cambio de la matriz productiva;Obtención Producto / Servicio;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;10
3. Trimestre;Septiembre;2021;8;DM GUAYAQUIL;GUAYAQUIL;OEPS;Cadenas vinculadas a industrias básicas;Obtención Producto / Servicio;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;33
2. Trimestre;Mayo;2021;3;TUNGURAHUA;PELILEO;OEPS  ;Textil;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
2. Trimestre;Junio;2021;5;SANTA ELENA;EMPALME;OEPS  ;Agroalimentario;Mejora de Infraestructura;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;10
2. Trimestre;Abril;2021;3;COTOPAXI;PUJILI;OEPS  ;Servicio Alimentación;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
3. Trimestre;Agosto;2021;3;COTOPAXI;LATACUNGA;OEPS;No priorizado en el cambio de la matriz productiva;Elaboración Reglamento Interno;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;9
2. Trimestre;Abril;2021;1;IMBABURA;IBARRA;OEPS  ;Textil;FODA / Plan Estratégico;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;1
2. Trimestre;Mayo;2021;6;AZUAY;PAUTE;OEPS  ;Servicio Limpieza;Mejora Flujo Proceso Comercial;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;18
1. Trimestre;Marzo;2021;1;IMBABURA;IBARRA;OEPS  ;Agroalimentario;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;22
4. Trimestre;Octubre;2021;2;ORELLANA;ORELLANA;OEPS;Servicios;Asesoramiento Certificación INEN;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;1
2. Trimestre;Abril;2021;1;SUCUMBIOS;LAGO AGRIO;OEPS  ;Construcción;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;36
3. Trimestre;Septiembre;2021;DMQ;PICHINCHA;CAYAMBE;OEPS;Servicios;Capacitación manipulación alimentos;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;41
1. Trimestre;Febrero;2021;4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;OEPS  ;Textil;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;27
3. Trimestre;Septiembre;2021;3;TUNGURAHUA;AMBATO;UEP;Agroalimentario;Mejora Flujo Proceso Productivo;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
3. Trimestre;Septiembre;2021;2;ORELLANA;ORELLANA;OEPS;No priorizado en el cambio de la matriz productiva;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
2. Trimestre;Junio;2021;3;TUNGURAHUA;QUERO;OEPS  ;Agroalimentario;Evaluación Herramienta Ex-Post;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;0
3. Trimestre;Septiembre;2021;6;AZUAY;SEVILLA DE ORO;OEPS;No priorizado en el cambio de la matriz productiva;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;13
2. Trimestre;Mayo;2021;5;SANTA ELENA;MILAGRO;OEPS  ;Agroalimentario;Activos Fijos;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;10
2. Trimestre;Mayo;2021;3;CHIMBORAZO;RIOBAMBA;OEPS  ;Textil;Mejora Flujo Proceso Productivo;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;9
